交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2022-08-12 12:10:36,商户消费,北京隆和瑞家餐饮管理有限公司,"饺子爱上粉",支出,¥20.00,招商银行(9813),支付成功,4200057816202208121045086831	,7895289975823393	,"/"
2022-08-05 12:16:48,商户消费,北京体育大学合作食堂,"秦晋味道",支出,¥19.00,招商银行(9813),支付成功,4200001444202208051595819151	,7895289472332464	,"/"
2022-08-04 12:09:05,商户消费,北京体育大学合作食堂,"秦晋味道",支出,¥22.00,招商银行(9813),支付成功,4200001434202208046672223398	,7895056417930254	,"/"
2022-07-29 12:09:39,商户消费,北京体育大学合作食堂,"秦晋味道",支出,¥18.00,招商银行(9813),支付成功,4200059220202207299397714241	,7895289376913502	,"/"
2022-07-27 12:12:09,商户消费,北京体育大学合作食堂,"饺子爱上粉",支出,¥20.00,招商银行(9813),支付成功,4200057818202207277751038813	,7895056346030868	,"/"
2022-07-18 09:47:13,二维码收款,人，很现实，也很残忍。,"收款方备注:二维码收款",收入,¥9.00,零钱,已收钱,10000499012022071800379114355062	,/	,"/"
2022-07-14 12:12:47,商户消费,北京体育大学合作食堂,"秦晋味道",支出,¥18.00,招商银行(9813),支付成功,4200057816202207147780318023	,7895056239354286	,"/"
2022-07-13 12:15:06,商户消费,北京体育大学合作食堂,"天香居",支出,¥20.00,招商银行(9813),支付成功,4200057817202207130227378447	,7895205722230113	,"/"
2022-07-13 09:39:05,商户消费,Hai-seed海盾智联,"在FFFF00006140901B4073E01D设备，打水:7.5升水桶",支出,¥2.50,招商银行(9813),支付成功,4200001463202207137632366021	,IPWIKTBXkaLb4EuHRatZA	,"/"
2022-07-13 09:38:05,商户消费,Hai-seed海盾智联,"在FFFF00006140901B4073E01D设备，打水:7.5升水桶",支出,¥2.50,招商银行(9813),支付成功,4200001459202207139670233490	,0U0PxCXebki0CGR1v8zwzg	,"/"
2022-07-12 21:05:50,商户消费,丰巢科技,"快件保管费",支出,¥1.00,零钱,支付成功,4200001434202207127848145808	,20220712210538863153035623908006	,"/"
2022-07-12 12:08:55,商户消费,北京体育大学合作食堂,"秦晋味道",支出,¥18.00,招商银行(9813),支付成功,4200057819202207126448269606	,7895054709961203	,"/"
